Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100,Dots
,20,306,277,"62,819",0.00,110.47,77,26,9,1,0,109
A Aarif,7,75,75,4,18.75,100.00,36,4,3,0,0,31
A Andrew Subikshan,2,5,8,2,2.50,62.50,4,0,0,0,0,4
A Aswin Crist,16,123,135,9,13.67,91.11,23,8,4,0,0,62
A Edward Kennedy,5,6,10,2,3.00,60.00,2,0,0,0,0,4
A Karuppusamy,4,21,18,2,10.50,116.67,12,1,1,0,0,7
A Mukund,23,782,662,18,43.44,118.13,91,88,6,6,0,221
A Mukunthan,5,23,41,3,7.67,56.10,8,0,0,0,0,22
A Sarath Raj,9,163,128,9,18.11,127.34,33,12,11,0,0,65
A Venkataraman,23,405,413,21,19.29,98.06,45,30,8,0,0,164
A Venkatesh,3,40,37,2,20.00,108.11,30,3,1,0,0,11
A Vitkar,1,24,20,1,24.00,120.00,24,4,0,0,0,8
Aakaash Sharma,1,4,6,1,4.00,66.67,4,0,0,0,0,3
AB Tanwar,53,608,425,37,16.43,143.06,55,31,46,1,0,162
AC Prathiban,5,36,40,4,9.00,90.00,17,4,0,0,0,17
AD Barooah,4,72,73,4,18.00,98.63,29,7,2,0,0,34
Adhithya Giridhar,5,48,45,4,12.00,106.67,16,5,2,0,0,22
Adithya Arun,8,46,40,8,5.75,115.00,17,0,4,0,0,18
Adithya Ganesh,34,751,669,24,31.29,112.26,66,51,19,3,0,217
Aditya Giridhar,2,39,29,2,19.50,134.48,27,3,2,0,0,11
Advaith Sharma,1,5,8,0,0,62.50,5,0,0,0,0,3
Affan Khader,1,0,3,1,0.00,0.00,0,0,0,0,0,3
AG Pradeep,4,42,34,2,21.00,123.53,24,2,2,0,0,8
Ajay K Krishna,5,4,15,5,0.80,26.67,2,0,0,0,0,11
Akash Sivan,1,0,1,1,0.00,0.00,0,0,0,0,0,1
Akash Sumra,25,197,197,23,8.57,100.00,24,18,5,0,0,90
Akkil Srinaath,23,394,295,18,21.89,133.56,54,20,27,1,0,111
Akram Khan,2,12,16,2,6.00,75.00,11,0,1,0,0,10
AP Murthy,10,84,80,10,8.40,105.00,35,12,1,0,0,39
Arun Karthik,1,67,43,1,67.00,155.81,67,7,3,1,0,14
Atheeq Ur Rahman,1,36,27,1,36.00,133.33,36,2,2,0,0,7
Athish SR,3,37,37,3,12.33,100.00,19,4,1,0,0,19
AV Srinivasan,32,588,484,30,19.60,121.49,63,52,21,4,0,192
AVR Rathnam,1,12,8,0,0,150.00,12,2,0,0,0,2
B Anirudh,57,"1,371","1,116",50,27.42,122.85,69,114,49,9,0,390
B Aparajith,66,"2,447","1,773",53,46.17,138.01,118,171,129,18,1,549
B Arun,2,9,7,1,9.00,128.57,8,1,0,0,0,1
B Indrajith,60,"1,386","1,107",43,32.23,125.20,96,121,41,8,0,359
B Praanesh,7,12,17,4,3.00,70.59,4,0,0,0,0,7
B Rahul,7,103,94,5,20.60,109.57,53,8,3,1,0,34
B Sachin,16,588,445,15,39.20,132.13,116,60,17,5,1,147
B Sai Sudharsan,30,"1,303",861,23,56.65,151.34,123,121,42,13,1,211
B Surya,2,0,4,2,0.00,0.00,0,0,0,0,0,4
Balchander Anirudh,1,48,37,1,48.00,129.73,48,3,2,0,0,11
BV Kumar,17,228,188,12,19.00,121.28,45,16,8,0,0,61
C Andre Siddarth,12,193,184,11,17.55,104.89,39,12,7,0,0,72
C Ganapathy,22,251,196,18,13.94,128.06,28,18,11,0,0,64
C Hari Nishaanth,66,"1,745","1,372",64,27.27,127.19,83,137,88,15,0,565
C Madhu,1,1,5,1,1.00,20.00,1,0,0,0,0,4
C Sarath Kumar,18,309,244,15,20.60,126.64,62,19,19,1,0,96
CH Jitendra Kumar,12,162,131,10,16.20,123.66,42,15,8,0,0,58
CV Varun,17,90,87,10,9.00,103.45,20,8,3,0,0,38
D Govindaraj,1,0,2,1,0.00,0.00,0,0,0,0,0,2
D Prashanth Prabhu,3,28,27,2,14.00,103.70,13,1,2,0,0,13
D Rahul,7,38,30,4,9.50,126.67,18,3,3,0,0,16
D Santhosh Kumar,15,335,252,15,22.33,132.94,73,35,15,2,0,101
D Sudhan,2,4,9,1,4.00,44.44,4,0,0,0,0,5
Dinesh H,4,25,21,2,12.50,119.05,17,3,0,0,0,7
DS Ferrario,28,500,428,26,19.23,116.82,60,36,16,1,0,143
DT Chandrasekar,5,8,11,2,4.00,72.73,5,1,0,0,0,6
DT Kumaran,7,24,33,6,4.00,72.73,9,2,1,0,0,21
Emmanuel Cherian,3,3,16,2,1.50,18.75,2,0,0,0,0,13
Eshwar M,2,37,24,2,18.50,154.17,29,2,3,0,0,12
G Ajitesh,27,704,473,20,35.20,148.84,112,59,39,3,1,165
G Godson,3,15,18,2,7.50,83.33,7,2,0,0,0,9
G Karthik Shanmugam,1,0,1,1,0.00,0.00,0,0,0,0,0,1
G Kishoor,5,6,14,5,1.20,42.86,2,0,0,0,0,9
G Periyaswamy,6,18,26,3,6.00,69.23,8,1,1,0,0,16
G Vignesh,4,40,46,4,10.00,86.96,15,6,0,0,0,24
Gurjapneet Singh,13,91,61,3,30.33,149.18,24,6,6,0,0,25
Guruswamy Ajitesh,1,0,1,1,0.00,0.00,0,0,0,0,0,1
GV Vignesh,4,21,24,4,5.25,87.50,16,1,0,0,0,8
H Gopinath,44,"1,191",911,40,29.78,130.74,82,114,45,7,0,316
H Trilok Nag,2,2,4,0,0,50.00,1,0,0,0,0,2
Hunny Saini,10,158,88,8,19.75,179.55,37,13,10,0,0,23
J Ajay Chetan,3,4,18,3,1.33,22.22,3,0,0,0,0,14
J Gowjith Subhash,8,82,73,8,10.25,112.33,26,5,5,0,0,33
J Gowri Sankar,4,28,42,3,9.33,66.67,17,3,0,0,0,23
J Jabez Moses,2,0,2,1,0.00,0.00,0,0,0,0,0,2
J Kaushik,7,27,24,3,9.00,112.50,12,2,1,0,0,11
J Kousik,65,"1,364","1,121",53,25.74,121.68,62,88,61,2,0,377
J Subramanyan,3,5,6,0,0,83.33,4,1,0,0,0,4
J Suresh Kumar,40,"1,068",750,37,28.86,142.40,83,118,35,8,0,260
J Syed Mohammad,9,133,137,6,22.17,97.08,37,6,4,0,0,51
Jafar Jamal,25,476,342,21,22.67,139.18,96,27,39,1,0,149
JJ Joseph,1,8,3,0,0,266.67,8,0,1,0,0,0
K Aashiq,9,208,158,9,23.11,131.65,56,22,7,2,0,57
K Bharath Shankar,21,613,476,20,30.65,128.78,112,68,28,3,1,218
K Deeban Lingesh,10,92,101,10,9.20,91.09,18,10,3,0,0,56
K Easwaran,4,1,8,2,0.50,12.50,1,0,0,0,0,7
K Gowtham Thamarai,4,24,18,1,24.00,133.33,10,3,1,0,0,8
K Mani Bharathi,36,673,560,32,21.03,120.18,81,53,32,2,0,230
