Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
,3,8.0,76,2,9.50,38.00,24.00,0,0,2/14,5,4,13
A Aswin Crist,32,103.3,824,38,7.96,21.68,16.34,0,0,3/13,80,27,242
A Edward Kennedy,6,16.0,112,1,7.00,112.00,96.00,0,0,1/18,6,4,30
A Karuppusamy,8,22.0,180,5,8.18,36.00,26.40,0,0,2/33,13,6,31
A Mukund,1,0.5,2,1,2.40,2.00,5.00,0,0,1/2,0,0,3
A Mukunthan,12,30.2,300,13,9.89,23.08,14.00,0,2,5/17,31,12,61
A Venkatesh,3,10.0,82,4,8.20,20.50,15.00,0,0,2/18,2,5,14
AB Tanwar,72,253.4,"2,086",89,8.22,23.44,17.10,3,0,4/16,184,101,669
AC Prathiban,7,22.0,188,7,8.55,26.86,18.86,0,0,3/28,14,8,37
Adhithya Giridhar,1,1.0,6,0,6.00,0,0,0,0,0/6,0,0,1
Adithya Arun,12,38.1,358,9,9.38,39.78,25.44,0,0,2/34,28,18,76
Advaith Sharma,1,4.0,13,1,3.25,13.00,24.00,0,0,1/13,0,0,12
Ajay K Krishna,18,55.5,500,24,8.96,20.83,13.96,2,0,4/18,41,26,147
Akash Sumra,35,84.4,697,18,8.23,38.72,28.22,0,0,3/32,50,27,178
Akkil Srinaath,9,13.3,114,5,8.44,22.80,16.20,1,0,4/33,5,6,21
Arya Yohan Menon,2,5.0,54,1,10.80,54.00,30.00,0,0,1/26,6,3,12
AV Srinivasan,3,4.0,28,0,7.00,0,0,0,0,0/9,1,2,9
B Aditya,2,7.0,44,1,6.29,44.00,42.00,0,0,1/22,0,2,12
B Aparajith,36,96.3,681,26,7.06,26.19,22.27,0,0,3/9,40,26,186
B Arun,19,60.0,426,13,7.10,32.77,27.69,0,0,2/20,27,20,145
B Praanesh,8,23.0,223,8,9.70,27.88,17.25,0,0,3/29,22,8,53
B Sai Sudharsan,2,3.0,23,1,7.67,23.00,18.00,0,0,1/15,0,2,8
B Surya,16,49.0,356,13,7.27,27.38,22.62,0,0,3/14,22,14,100
BV Kumar,1,1.0,11,0,11.00,0,0,0,0,0/11,1,1,3
C Ganapathy,20,73.5,595,26,8.06,22.88,17.04,0,1,5/19,53,27,184
C Hari Nishaanth,15,34.0,268,11,7.88,24.36,18.55,0,0,2/13,14,15,63
C Shriram,2,6.0,26,3,4.33,8.67,12.00,0,0,2/20,1,0,14
CH Jitendra Kumar,2,3.0,23,0,7.67,0,0,0,0,0/7,1,1,5
CV Varun,46,176.4,"1,131",53,6.40,21.34,20.00,0,0,3/16,81,40,449
D Rahul,13,37.4,339,9,9.00,37.67,25.11,0,0,1/6,37,12,97
DS Ferrario,15,31.2,247,10,7.88,24.70,18.80,0,0,3/32,12,14,60
DT Chandrasekar,21,61.0,497,12,8.15,41.42,30.50,0,0,2/16,40,22,126
DT Kumaran,21,64.5,568,24,8.76,23.67,16.21,1,0,4/24,61,23,161
E Srinivasan,2,5.0,74,1,14.80,74.00,30.00,0,0,1/35,8,4,9
Emmanuel Cherian,12,36.3,279,8,7.64,34.88,27.38,0,0,1/15,34,6,107
Esakkimuthu A,8,30.0,224,14,7.47,16.00,12.86,1,0,4/26,22,6,84
G Godson,6,19.0,147,4,7.74,36.75,28.50,0,0,3/34,8,7,38
G Karthik Shanmugam,1,3.3,23,3,6.57,7.67,7.00,0,0,3/23,2,0,8
G Kishoor,11,32.0,344,10,10.75,34.40,19.20,0,0,3/39,33,20,64
G Periyaswamy,46,170.3,"1,287",60,7.55,21.45,17.05,0,1,5/15,103,46,422
G Vignesh,3,8.0,80,3,10.00,26.67,16.00,0,0,2/28,7,4,9
Govinth G,2,2.2,44,0,18.86,0,0,0,0,0/17,3,4,1
Gurjapneet Singh,31,111.1,787,34,7.08,23.15,19.62,0,0,3/15,67,25,295
H Gopinath,1,1.0,13,0,13.00,0,0,0,0,0/13,3,0,2
H Trilok Nag,14,37.3,317,15,8.45,21.13,15.00,0,0,2/17,24,14,90
Irfan Ahmed,1,2.0,22,0,11.00,0,0,0,0,0/22,1,1,0
J Gowri Sankar,3,4.0,31,1,7.75,31.00,24.00,0,0,1/11,5,0,8
J Jabez Moses,3,8.5,91,0,10.30,0,0,0,0,0/20,11,2,16
J Kaushik,21,67.3,565,23,8.37,24.57,17.61,0,0,3/29,49,29,169
J Kousik,50,136.4,"1,144",37,8.37,30.92,22.16,1,0,4/15,64,56,223
J Prem Kumar,10,39.4,305,13,7.69,23.46,18.31,0,0,3/19,28,9,76
J Rohan,1,3.0,27,1,9.00,27.00,18.00,0,0,1/27,0,3,8
J Subramanyan,25,88.0,613,23,6.97,26.65,22.96,1,0,4/21,35,35,220
J Syed Mohammad,10,29.0,191,7,6.59,27.29,24.86,0,0,2/18,10,7,59
JJ Joseph,3,11.0,84,2,7.64,42.00,33.00,0,0,2/29,9,1,18
K Deeban Lingesh,6,15.0,143,5,9.53,28.60,18.00,0,0,3/29,18,5,37
K Easwaran,22,69.3,555,34,7.99,16.32,12.26,0,1,6/32,56,21,189
K Gowtham Thamarai,36,106.1,912,32,8.59,28.50,19.91,1,0,4/20,108,34,312
K Vignesh,58,203.4,"1,516",55,7.44,27.56,22.22,0,0,3/19,137,55,511
KM Gandhi,8,12.1,111,4,9.12,27.75,18.25,0,0,1/4,10,3,22
KP Meiyappan,2,8.0,66,2,8.25,33.00,24.00,0,0,2/24,1,6,18
KS Monish,8,21.2,186,6,8.72,31.00,21.33,0,0,2/23,13,9,34
L Balaji,8,28.0,166,11,5.93,15.09,15.27,0,1,5/18,14,6,85
L Ganesh,4,7.0,73,0,10.43,0,0,0,0,0/12,6,4,10
L Kiran Akash,32,109.4,928,44,8.46,21.09,14.95,0,0,3/16,79,49,294
L Vignesh,31,97.1,800,21,8.23,38.10,27.76,0,0,3/28,71,37,243
Lakshay Jain,14,37.0,285,7,7.70,40.71,31.71,0,0,2/10,17,11,70
LN Sathiyannaarayan,2,5.0,49,2,9.80,24.50,15.00,0,0,1/13,3,3,7
M Abhinav,19,58.0,406,19,7.00,21.37,18.32,0,0,3/24,25,21,154
M Ashwin,62,218.1,"1,580",66,7.24,23.94,19.83,1,0,4/21,87,71,486
M Ayush,1,2.0,20,2,10.00,10.00,6.00,0,0,2/20,0,2,5
M Ganesh Moorthi,53,174.3,"1,204",38,6.90,31.68,27.55,1,0,4/11,87,50,438
M Karthik Saran,4,10.0,92,3,9.20,30.67,20.00,0,0,2/44,8,3,19
M Lakshmi Narayanan,15,37.0,315,9,8.51,35.00,24.67,0,0,2/31,19,12,43
M Mathivannan,32,92.4,639,26,6.90,24.58,21.38,0,0,4/1000,47,21,190
M Mohammed,72,236.4,"1,924",73,8.13,26.36,19.45,2,0,4/20,159,85,549
M Poiyamozhi,45,165.4,"1,374",65,8.29,21.14,15.29,1,0,4/28,109,55,351
M Prabhu,13,39.5,313,9,7.86,34.78,26.56,0,0,2/20,23,14,81
M Raja,12,41.0,378,13,9.22,29.08,18.92,0,0,3/22,46,10,96
M Rangarajan,25,66.0,508,14,7.70,36.29,28.29,0,0,2/10,35,21,137
M Rooban Raj,1,4.0,21,1,5.25,21.00,24.00,0,0,1/21,1,0,9
M Sathya Raj,1,1.0,13,0,13.00,0,0,0,0,0/13,0,0,0
M Shahrukh Khan,43,115.0,884,45,7.69,19.64,15.33,1,0,4/14,53,44,245
M Shajahan,9,15.0,114,4,7.60,28.50,22.50,0,0,1/4,5,5,26
M Siddharth,55,197.0,"1,221",47,6.20,25.98,25.15,1,0,4/20,93,46,551
M Silambarasan,54,183.1,"1,211",60,6.61,20.18,18.32,2,1,5/12,100,34,415
M Suresh Babu,14,44.0,319,9,7.25,35.44,29.33,0,0,1/13,22,11,95
M Uday Kumar,2,7.0,79,1,11.29,79.00,42.00,0,0,1/33,3,7,12
M Vijay,4,6.0,55,0,9.17,0,0,0,0,0/5,2,3,9
M Viju Arul,3,3.3,41,2,11.71,20.50,10.50,0,0,2/18,4,2,5
MA Atheeq Ur Rahman,2,6.0,33,3,5.50,11.00,12.00,0,0,2/9,2,1,15
Manish Ravi,3,8.0,82,3,10.25,27.33,16.00,0,0,2/43,5,6,16
ME Yazh Arun Mozhi,16,45.0,352,10,7.82,35.20,27.00,0,0,3/22,29,14,102
MK Bafna,22,66.0,498,13,7.55,38.31,30.46,0,0,2/14,33,20,124
MK Sivakumar,13,37.2,294,11,7.88,26.73,20.36,0,0,3/10,19,17,82
MP Rajesh,9,28.4,195,11,6.80,17.73,15.64,0,0,3/22,10,11,70
MS Sanjay,26,85.5,630,26,7.34,24.23,19.81,1,0,4/21,48,23,185
Muhammed Adnan Khan,2,1.2,16,1,12.00,16.00,8.00,0,0,1/11,3,0,1
Murugan Ashwin,1,4.0,30,0,7.50,0,0,0,0,0/30,0,3,10
N Kabilan,5,14.0,136,6,9.71,22.67,14.00,0,0,2/26,9,9,40
N Selva Kumaran,26,79.0,606,20,7.67,30.30,23.70,1,0,4/27,48,27,191
NS Harish,38,115.2,814,25,7.06,32.56,27.68,0,0,3/30,53,31,241
NS Rajagopal,2,5.0,50,1,10.00,50.00,30.00,0,0,1/31,7,1,9
P Amarnath,4,10.0,121,1,12.10,121.00,60.00,0,0,1/39,12,8,19
P Bhuvaneswaran,21,64.3,547,26,8.48,21.04,14.88,1,1,5/17,58,21,166
P Nirmal Kumar,1,1.0,9,0,9.00,0,0,0,0,0/9,1,0,0
P Ranjan Paul,1,0.4,0,1,0.00,0.00,4.00,0,0,2/1000,0,0,4
P Sakthi,1,1.0,20,0,20.00,0,0,0,0,0/20,0,3,1
P Saravana Kumar,44,146.4,"1,265",56,8.62,22.59,15.71,1,0,4/30,125,54,381
P Saravanan,21,54.2,419,15,7.71,27.93,21.73,0,0,3/23,32,17,117
P Vidyuth,3,8.1,62,5,7.59,12.40,9.80,0,1,5/23,3,4,20
P Vignesh,13,34.3,250,12,7.25,20.83,17.25,0,0,3/8,15,12,80
Pranav Kumar,2,5.0,44,0,8.80,0,0,0,0,0/18,3,1,7
PS Chandran,6,14.0,108,2,7.71,54.00,42.00,0,0,1/12,5,6,30
PS Nirmal Kumar,4,9.0,90,1,10.00,90.00,54.00,0,0,1/28,4,7,12
R Alexandar,56,177.4,"1,233",56,6.94,22.02,19.04,0,1,5/9,94,41,410
R Ashwin,37,136.5,949,42,6.94,22.60,19.55,0,0,3/16,51,43,314
R Aushik Srinivas,48,169.3,"1,165",42,6.87,27.74,24.21,0,0,3/12,66,49,372
R Divakar,22,72.3,590,31,8.14,19.03,14.03,0,0,3/5,33,31,143
R Ganesh,2,6.0,78,1,13.00,78.00,36.00,0,0,1/22,7,5,8
R Jesuraj,12,44.5,362,14,8.07,25.86,19.21,0,0,2/13,33,13,97
R Kirubakar,1,3.0,26,0,8.67,0,0,0,0,0/26,2,1,4
R Mithun,17,48.2,337,12,6.97,28.08,24.17,0,0,3/17,25,13,106
R Rajkumar,57,184.0,"1,344",46,7.30,29.22,24.00,1,0,4/30,110,32,339
R Rohit,44,128.1,"1,072",36,8.36,29.78,21.36,0,0,3/16,105,41,300
R Sai Kishore,68,254.4,"1,595",90,6.26,17.72,16.98,2,1,5/13,100,66,671
R Sanjay Yadav,55,163.3,"1,244",30,7.61,41.47,32.70,0,0,3/28,79,50,326
